too much small amount | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
just an average burgers with average taste crispy chicken was dripping oil and juicy chicken they grind the chicken meat so fine that it taste different like is this chicken kabob or burger patty  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
ordered meal box the food was really good and quantity was sufficient as well  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
excellent food serves the best budget pizza in bashundhara  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
well priced with discounts just like the mayo is more thin a bit like broth due to the thinness of the parcel it has become a little flat beef burgers would have been better make sure the chicken is halal  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
good | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
nice food test was good  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
 it was expected good and it tastes quite good | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
vegetable was average | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
everything was good | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
tests really bad poor quality too  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
hunngru tricks food is very taste i like hungry tricks food thank you so much for owner and stuff  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
best burger | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
no traditional pizza very thick as dominos or pizza hut late delivery and open sauces  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
taste was good but i paid for inch pizza whereas you delivered me a inch one  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
compared to the price it s actually quite good | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
food was great | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
it isbest price burger that i have ever take on food panda if they continuing with this price i will certainly eat very often thank you burger tricks  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
ordered the chicken burger combo normally i wouldn t leave a review but as this is a new store i decided to leave one the burger was juicy and fresh it could be a little burger though  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
best food good quality | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
food was fresh and good and packaging was also good  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
burger was average fries were really bad fried in old oil felt bloated the moment i started eating it couldn t even eat after having so if anyone wants fries this isn t the place  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
quality and quantity was really good really enjoyed the rice set rating best of luck  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
quality and quantity was really good really enjoyed the rice set  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
meal box finally foodpanda own cloud kitchen serve some good food  | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
burger ta onnk delicious and test was too good | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
quality of food was good specially rice ta onek bhalo chilo r juicy burger tao bhalo chilo according to price it was perfect | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
yummy burger | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
yummy chicken lollipop price er sathe food test quantity perfect order again in sha allah | Restaurant: Hungry Tricks - Bashundhara | Cuisine: Pizza | City: Dhaka
the red velvet one didn t came crunchy on the other hand the second one nutella choco waffle came out crunchy and good | Restaurant: Waffle Street Khilgaon | Cuisine: Dessert | City: Dhaka
the chocolate overloaded waffle was amazing one of the best waffles i ve tried in khilgaon best wishes | Restaurant: Waffle Street Khilgaon | Cuisine: Dessert | City: Dhaka
disgusting | Restaurant: Waffle Street Khilgaon | Cuisine: Dessert | City: Dhaka
food from haven | Restaurant: Waffle Street Khilgaon | Cuisine: Dessert | City: Dhaka
very disappointed with their food i didn t get any white chocolate cream on the top or even cream cheese as they ve described in the menu i didn t expect at all  | Restaurant: Waffle Street Khilgaon | Cuisine: Dessert | City: Dhaka
it was good just an advice never order something with icecream on food panda | Restaurant: Waffle Street Khilgaon | Cuisine: Dessert | City: Dhaka
beef boti kabab ta too much hard mone hoy raw beef khacchi bt taste soo good | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
supper | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
it was really good yummy and delicious kebab | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
khabarer test valona  | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
not good | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
test is good but chicken portion is really small | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
awesome grill and khasta paratha will order again  | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
chicken chap ta shob shomoi valo lage kintu majhemajhe chap ta onek choto diye de abar majhe majhe ekdom choto choto piece piece kore de eta khub e kharap | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
totally dry no sauce or salad provided | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
ekdom pora khabar disey | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
food was tasty | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
good but sauce ta beshi dile valo hoito mosla dilei valo hoito | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
naan adana kabab taste good but few in quantity chicken cream chap doesn t look like the attached picture at all | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
excellent | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
the food was delicious apnader saus ta onk moja tnx | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
hygiene maintain kora hoina mone hoi noito khawar shame shame direct hoye jai ken onno jaigar khawar khele to oirokom hoi nah hygiene maintain korar jonno onurodh korchi  | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
 awesome | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
their chicken chap is nothing but chicken grill liked thier adana kabab | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
i ordered ghee khasta paratha but they didn t give it | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
got wrong item order turkey kabab which comes as a shikh got tikka kebab | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
good | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
i ordered creamy chap but they didn t add cream sauce in my chicken | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
 i love their food items | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
alhamdulillah food was really tasty  | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
the food was excellent as always | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
 the experience was very bad chicken smelling very bad mayo wasn t fresh money is completely wasted | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
i asked for chicken tandoori kebab gave quail thang | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
beef was not expected | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
salad sauce is something that can be eaten by ordering what food the naan is cold | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
beef adani kebab is made from chicken what a surprise  | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
the food was tasty  | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
i orderderd butter garlic and beef boti kabab naan was very good kabab was a bit hard should be cooked more  | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
awesome | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
not bad | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
i ordered chicken chap types of naan chicken chap car moja na not recommended garlic is good but butter is good but butter er smell and nai ratings jonno dilam naan er quality  | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
good food | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
butter naan is great chicken cheap average | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
good | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
the food was good need more sauce  | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
i ordered korchi butter nun garlic in hariyali kabab adani kabab chicken chap garlic in ta ektu capta chilo autota bhalo lage is adani kabab motamoti butter nun and hariyali kabab was really good | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
next time theke aktu myonisse ta beshi kore diyen chicken r mosla beshi diyen | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
food was so good | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
beef poreman kom selo | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
kebab pieces were too small not fair for the price  | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
delicious food without salad no means | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
well cooked kebab  | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
the bread was really dry | Restaurant: Turkey Kebab & Sea Food | Cuisine: Turkish | City: Dhaka
very poor expected dhar er kasew jaii naii | Restaurant: Abir's Home Kitchen | Cuisine: Curry | City: Dhaka
food delivered on time | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
i don t eat from this shop all the time but the cuttlefish of this shop is so disgusting that i begged them to give my baby boneless meat please they give me bones and fat  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
chole kono rokom | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
food is fair and good but beef is less in tehari and chicken leg back is too small in biryani  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
good and testy | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
sedin dilam plain naan pcs ashlo ta ami shevabe order dilam aj pcs a ta but ok | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
all the food items were good and tasty  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
amazing tastes but for nan ruti they could mention that for one means it s rutis pack i over ordered though that fine and it s so tasty | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
good not bad | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
the price of a small piece of grill is rupees  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
they charge me more money for leg piece chicken roast but ended up giving me the breast piece and food quality and quantity both are very poor and tasteless fauuuul | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
alhamdulillah is good but the price is a bit high | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
quantity is so low that it makes me disappointed price onujai quantity khub e kom | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
the size of grilled chicken is so small its price of rupees is unbelievable  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
test good but chicken size is small compare the price  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
poor food  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
very bad food talking about shahi parota boila gave a parota worth taka and the grill has nothing to do with it | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
bro what could be worse food than this god knows best how long ago the food was given  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
chicken biryani is not good at all extra money for leg piece and breast piece and the taste is not good at all and throw it away after eating half of it  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
bashmoti rice day nai kacchi te ar rice ar poriman akdon kom  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
nonsense | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
loved the chicken biryani | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
khub e faltu khabar ja order dilam segula full deini khabar moja o ar price ar tulonai porimap o kom | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
delivery man kamne ance amr ordek doi poira gaca | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
it didn t taste too good because tehari gave more hardy instead of meaty | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
the glass was better before | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
good | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
their food is good but the quality of their food has gone down a lot compared to before food is not as fun and good as it used to be | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
not so sadh | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
food was good but quantity was less than price please increase it | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
superb | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
good service | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
the food is pretty good but the quantity is very less and the taste of the food is getting very bad compared to the emotion your polar rice is very bad and very soft  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
the food is fairly good but the taste is not as good as before it can be eaten but it is not good day by day the quality of the food is getting worse and the quantity is also decreasing  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
brother people s trouble money taka basmati kacchi dry fried potatoes then boiled and not done i have no complaints about meat and rice less can be more i wanted to return it  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
kharap na valoi chilo but packet ta size e ektu beshi e choto mone hoise  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
very bad experience | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
it was very bad | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
onk baje chilo chicken biryani ta murgir piece ato choto chilo and taste onk baje chilo onk faltu | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
too much crap service after waiting for so long now i see that the amount of rice is very less the quality of food is not good and money has been taken in large quantities as the amount of food is nothing much less  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
salad day ne  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
i am a new customer and have no experience | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
the price is high and the food is less  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
low quantity with that price range  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
small quantity thats upset me with that price  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
sheek kabab was good but portion was less | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
that chicken chap was very very disgusting and the butter nun was yaak i never complain for anything but yesterday i can t hold myself please take an action against them  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
falto khabar dakhaisa akta disa akta  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
chicken biryani was not cooked well the rice remained hard and the food was spoiled and smelled  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
they delivered stale food found pieces of dead fly in the food  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
very poor considering the price i ordered leg piece but they did not give it  | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
amr bal | Restaurant: New Haji Sweets And Hotel | Cuisine: Curry | City: Dhaka
not good how does the food smell  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
it was good | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
expensive kinda | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
complete disaster chicken was raw rice tar taste ekdom e bhalo na ekdom bhalo lageni  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
kono rokom banai diye dilo | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
spicy means sprinkled chili powder on chicken fries felt bad if there was a problem the order should not have been taken a star rating seems too high | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
there was no seasoning in the fried chicken burger was awful way too much garlic on the sauce and i guess it was raw garlic on the sauce chef might not know that garlic must be confit poor | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
balo silo na | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
order naga pop chicken but they delivered normal  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
my kid loves the food  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
rice meal order diyechilam kintu description ar khawarer kono mil nei | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
cant say or goood | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
the fried chicken is nice rather than that their order processing is very bad instead of mint sauce they gave me normal mayo sauce instead of spicy french fries they gave me something else  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
motamoti but quantity kom chilo price hishebe | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
thought it will be better than no gate branch | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
good food | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
valo hoice | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
the fries could be better but the burger was really good | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
amar order akta dawa hoinai packet a | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
vai korean tender order disilam original gula keno dise vai  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
food became cold taste was average | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
chicken was undercooked and bloody inside  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
it was good  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
the food was pretty good and the chicken crispy i specially liked the korean chicken tenders  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
the rice meal was too bad and the coleslaw was also bad | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
mutamuti er namta joss kintu khanna average  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
there was itam missing from my oder | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
the food was very good the service was nice to  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
experience was soo bad they showed fried rice in picture but in reality it was just plain rice like atleast give what you are showing and the chicken was salty too not recommended | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
it s good | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
fries a little burnt | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
ordered big pieces of fried chicken but they gave me some pieces chicken stripes the slaw burger was good  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
best fried chicken i have eat | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
you guys should improve the rice chicken was so good but rice ta onk beshi dry chilo tai kheye bhalo laghchilo na i think fried rice hole better hoto | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
it is much less than expected and the food taste was not that good either | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
garbage | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
very average fried chicken over priced not tender didn t even provide tissue with the parcel | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
overpriced | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
the chicken wasn t fresh and it was double fried  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
worst waste of money  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
quality has definitely improved than the last time i had ordered the chicken was flavourful with a golden brown crispy coating hoping they can make it better or at least keep it consistent  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
wrong order given didn t gave crispy jack s rice box and the rice of the rice meal box didn t had seasoning at all  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
the mayo sauce went bad couldn t have it  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
they had no seasoning and they were all dry | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
to much spiced up that cant even taste the fries | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
used to love their fried chicken and fries a lot but i m really disappointed this time nothing felt fresh they probably heated it in the oven also ordered peri peri chicken and got the regular | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
poor guy | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
where is the mayo with the chicken don t give any wrong information if you can t provide the thing you ve mentioned otherwise the fiery jacks was good | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
fried chicken pieces are small nit juicy enough  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
really enjoyed it and the chicken looks fresh i really recommend it  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
chicken quality is good but quantity is very poor bergar is quite good  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
first a review dekhe bhabsilam loss khaisi khawar baje hbe ar pore dekhlam je na mota moti chole ato ta kharap ona mane bola jaipackaging o bhalo but aktu dite time lagseoder | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
it was shown buy get free but they did not give the free one also some chicken pieces were not good had bad rotten taste  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
think no one should order from here there was the menu buy two feiry jack get another one free but they served only two pice and foodpanda didn t give any solution on it  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
it said buy get i ordered from that section but they did not send the extra amount scam restaurant don t order | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
it smells so bad and tastes so bland and bad  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
worst fried chicken sticky chicken was just regular chicken i ve been ordering from their restaurant for a long time and trust me their quality has gone down | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
what do you show and give broast chicken with white rice for tk frying white rice with butter does not make it buttery rice don t mess with people like this  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
it was the most disgusting tasting raw chicken i ate i want refund it has given me diarrhea | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
vai unsatisfied nijer tk waste korian na ei khan theke order diye eto baje service expect o kori nai | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
chicken taste was good but the size was so small  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
one of the worst spicy chicken spicy jacks i have ever had they just put spice powder on the top also the taste of the chicken wasn t that much good it was half done  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
food was not received at door i had to go get the food the delivery man did not deliver to the house  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
good | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
blandddddddddddddddddddddddd | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
wrost meal i had ever | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
too much dry  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
it was so good loved it the packaging was perfect please maintain the taste always  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
the burgers were really good than we expected the restaurant should work on their fried rice the rice tasted like polao  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
awesome | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
disappointing burger burnt chicken no onions despite being written in the menu burger had big thigh bone bun too thin and bad quality chicken could be more fresh waste of money  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
good but price is too much  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
eto choto choto piece unexpected  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
very very bad | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
too bad there was no gravy fried chicken wasnotc cook properly  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
they didn t privide sauce as prescribed in menue taste was okay overall | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
not good it was average and though the package contain indian gravy they dont provide it in order i am very much dissatisfied and further idontrecommenfd it to others | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
average | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
it wasn t the meal i ordered  | Restaurant: Jackson's Fried Chicken - Kotwali | Cuisine: Chicken | City: Chittagong
not good | Restaurant: Cafe Exile | Cuisine: Beverage | City: Dhaka
love their mushroom soup haven t tried anything else yet | Restaurant: Cafe Exile | Cuisine: Beverage | City: Dhaka
they sent vegetable instead of beef curry absolutely disappointing | Restaurant: Cafe Exile | Cuisine: Beverage | City: Dhaka
it was nice but they forgot fork  | Restaurant: Cafe Exile | Cuisine: Beverage | City: Dhaka
photos of the foods shown in the app are completely different from the actual food  | Restaurant: Cafe Exile | Cuisine: Beverage | City: Dhaka
the proportion of the rice and sauted vegetables is very less compared to the price  | Restaurant: Cafe Exile | Cuisine: Beverage | City: Dhaka
